,file_name,class,detect_tf,box_size,iou,conf
0,0000.txt,car,True,5543,0.8873853988946481,0.817575
1,0000.txt,car,True,175,0.5884584764416367,0.00407
2,0000.txt,car,True,154,0.5192834832972465,0.029312
3,0001.txt,car,True,8308,0.9425234072952909,0.002473
4,0001.txt,car,True,142,0.5710374662797154,0.017986
5,0001.txt,car,True,216,0.5303955593386191,0.5
6,0002.txt,car,True,252,0.7206918759691153,0.182426
7,0002.txt,car,True,16198,0.9731145812023432,0.817575
8,0002.txt,car,True,156,0.5386725518183639,0.017986
9,0003.txt,car,True,456,0.793921583142089,0.047426
10,0003.txt,car,True,53256,0.9606583810098386,0.880797
11,0003.txt,car,True,156,0.5736911307448158,0.029312
12,0004.txt,car,True,566,0.8079929315607466,0.377541
13,0004.txt,car,True,58065,0.8487441128235578,0.119203
14,0004.txt,car,True,168,0.5013427804602196,0.017986
15,0005.txt,car,True,792,0.8241444031979228,0.731059
16,0005.txt,car,True,210,0.6338380399517706,0.006693
17,0005.txt,car,True,164,0.5942172698504972,0.006693
18,0006.txt,car,True,1092,0.8476353877630077,0.731059
19,0006.txt,car,True,323,0.7711940015401487,0.029312
20,0006.txt,car,True,300,0.6609431211912404,0.075858
21,0007.txt,car,True,408,0.695197123735322,0.377541
22,0007.txt,car,True,342,0.7347459285365028,0.182426
23,0007.txt,car,True,1363,0.7969063422845961,0.731059
24,0008.txt,car,True,540,0.7485288059199112,0.377541
25,0008.txt,car,True,380,0.7081966056983272,0.377541
26,0008.txt,car,True,1784,0.8905480107300656,0.731059
27,0009.txt,car,True,736,0.9845728752108296,0.622459
28,0009.txt,car,True,380,0.7189782535010393,0.075858
29,0009.txt,car,True,2090,0.9038529410919697,0.075858
30,0010.txt,car,True,1039,0.8108695525931379,0.5
31,0010.txt,car,True,380,0.564627867302848,0.002473
32,0010.txt,car,True,234,0.7417085436290223,0.047426
33,0010.txt,car,True,2183,0.9329812672690743,0.006693
34,0011.txt,car,True,1478,0.8877846413227061,0.731059
35,0011.txt,car,True,186,0.7511959135096105,0.002473
36,0011.txt,car,True,323,0.5647516871505399,0.00407
37,0011.txt,car,True,234,0.6618484798337836,0.029312
38,0011.txt,car,True,2295,0.8920422032163516,0.731059
39,0012.txt,car,True,2520,0.899448978171973,0.731059
40,0012.txt,car,True,234,0.7404313168576963,0.017986
41,0012.txt,car,True,323,0.7349807411907252,0.182426
42,0012.txt,car,True,2407,0.8389627240628637,0.731059
43,0013.txt,car,True,293,0.5126309047034688,0.182426
44,0013.txt,car,True,4998,0.9153306319773399,0.817575
45,0013.txt,car,True,360,0.6085957227569123,0.119203
46,0013.txt,car,True,2365,0.9443035082968724,0.817575
47,0014.txt,car,True,12580,0.9847280748160768,0.817575
48,0014.txt,car,True,360,0.7708094059368864,0.010987
49,0014.txt,car,True,399,0.8583346021713185,0.119203
50,0014.txt,car,True,2376,0.9134161997575746,0.622459
51,0015.txt,car,True,30378,0.9508622202311671,0.002473
52,0015.txt,car,True,540,0.7847401770796045,0.5
53,0015.txt,car,True,456,0.7761579072729975,0.5
54,0015.txt,car,True,2142,0.8982517374947802,0.817575
55,0016.txt,car,True,700,0.8503531265580468,0.5
56,0016.txt,car,True,520,0.8651927103874206,0.119203
57,0016.txt,car,True,1872,0.8816582268473934,0.731059
58,0017.txt,car,True,989,0.7810805299175413,0.731059
59,0017.txt,car,True,588,0.7865547271316246,0.010987
60,0017.txt,car,True,1584,0.9355757869654883,0.731059
61,0018.txt,car,True,1404,0.8536054293493861,0.731059
62,0018.txt,car,True,690,0.8533130329043467,0.5
63,0018.txt,car,True,1279,0.8465866808035257,0.731059
64,0019.txt,car,True,2312,0.9333730977508979,0.731059
65,0019.txt,car,True,799,0.8113575170829084,0.622459
66,0019.txt,car,True,1109,0.8970362742342068,0.731059
67,0020.txt,car,True,3999,0.9154107987367373,0.006693
68,0020.txt,car,True,884,0.8426861480853703,0.731059
69,0020.txt,car,True,1049,0.8078955445334423,0.731059
70,0021.txt,car,True,8723,0.9394819019459185,0.817575
71,0021.txt,car,True,1101,0.811223497401582,0.731059
72,0021.txt,car,True,985,0.8230585500320402,0.731059
73,0022.txt,car,True,23066,0.9487257066016925,0.880797
74,0022.txt,car,True,1375,0.7572702492763983,0.731059
75,0022.txt,car,True,1079,0.7901746450507798,0.731059
76,0023.txt,car,True,18632,0.9523649095696685,0.817575
77,0023.txt,car,True,1632,0.8555132309091202,0.731059
78,0023.txt,car,True,1146,0.8361095671269893,0.731059
79,0024.txt,car,True,2052,0.7981271080584124,0.731059
80,0024.txt,car,True,1215,0.8935365175578938,0.731059
81,0025.txt,car,True,2562,0.9430855944541046,0.731059
82,0025.txt,car,True,1247,0.7976652332646228,0.731059
83,0026.txt,car,True,3174,0.8956319094356815,0.731059
84,0026.txt,car,True,1352,0.8796340098975194,0.731059
85,0027.txt,car,True,4029,0.8954786593865429,0.817575
86,0027.txt,car,True,1505,0.886568079482829,0.731059
87,0028.txt,car,True,4839,0.945280941771056,0.622459
88,0028.txt,car,True,1584,0.8783563190470967,0.731059
89,0029.txt,car,True,5820,0.919420859184914,0.817575
90,0029.txt,car,True,1548,0.8517989361484399,0.731059
91,0030.txt,car,True,6489,0.9138036172450119,0.5
92,0030.txt,car,True,1319,0.7827271015788588,0.731059
93,0031.txt,car,True,6448,0.9436376645889296,0.817575
94,0031.txt,car,True,1177,0.8965100729330747,0.731059
95,0032.txt,car,True,5800,0.8923713858670685,0.817575
96,0032.txt,car,True,1014,0.767857722871023,0.731059
97,0033.txt,car,True,5346,0.8889645670088294,0.817575
98,0033.txt,car,True,831,0.8115519077710514,0.731059
99,0034.txt,car,True,5247,0.9176467291520427,0.817575
100,0034.txt,car,True,779,0.8272434908625761,0.731059
101,0035.txt,car,True,5823,0.8861056320805724,0.731059
102,0035.txt,car,True,750,0.8594273418049732,0.731059
103,0036.txt,car,True,7137,0.9191202084105515,0.817575
104,0036.txt,car,True,750,0.7822671814656003,0.731059
105,0037.txt,car,True,10359,0.9381062615189698,0.817575
106,0037.txt,car,True,671,0.9256167107953414,0.622459
107,0038.txt,car,True,16434,0.9542508230261745,0.817575
108,0038.txt,car,True,672,0.8397872131929521,0.622459
109,0039.txt,car,True,15260,0.8670306196846644,0.731059
110,0039.txt,car,True,644,0.8143682568070991,0.622459
111,0040.txt,car,True,594,0.8485493003519351,0.622459
112,0041.txt,car,True,546,0.6342340926000326,0.622459
113,0041.txt,car,True,1947,0.9145397308633681,0.5
114,0042.txt,car,True,4802,0.8375395789034572,0.817575
115,0042.txt,car,True,594,0.8074729086597635,0.622459
116,0042.txt,car,True,221,0.8811623519301123,0.182426
117,0043.txt,car,True,10823,0.9546093571216845,0.880797
118,0043.txt,car,True,621,0.8227091361446398,0.622459
119,0043.txt,car,True,352,0.6129797190328077,0.047426
120,0044.txt,car,True,756,0.7701467936755796,0.010987
121,0044.txt,car,False,600,0.0,0.0
122,0044.txt,car,True,682,0.7951307492635028,0.5
123,0044.txt,car,True,571,0.7546818545361665,0.5
124,0044.txt,car,True,169,0.8329652683052354,0.119203
125,0044.txt,car,True,152,0.6591852937040334,0.017986
126,0045.txt,car,True,1161,0.8092702020678175,0.377541
127,0045.txt,car,True,378,0.5854836988148272,0.006693
128,0045.txt,car,True,400,0.8625164933876236,0.017986
129,0045.txt,car,True,647,0.7652470534042486,0.731059
130,0045.txt,car,True,296,0.6260730307488549,0.029312
131,0046.txt,car,True,2456,0.8443569632654108,0.731059
132,0046.txt,car,True,612,0.5649227216539732,0.006693
133,0046.txt,car,True,680,0.6518180416773189,0.001501
134,0046.txt,car,True,621,0.7217670724837816,0.182426
135,0047.txt,car,True,5300,0.9150770851551199,0.182426
136,0047.txt,car,True,1034,0.8102705038452506,0.075858
137,0047.txt,car,True,1352,0.5236753475973613,0.047426
138,0047.txt,car,True,621,0.7680786933433466,0.622459
139,0048.txt,car,True,5904,0.7680695407779128,0.00407
140,0048.txt,car,True,4400,0.8538981892621803,0.377541
141,0048.txt,car,True,594,0.809089753195754,0.622459
142,0049.txt,car,True,13640,0.8339341100158426,0.006693
143,0049.txt,car,True,3913,0.8312126397246972,0.047426
144,0049.txt,car,True,644,0.8058584160856184,0.5
145,0050.txt,car,True,621,0.9251613458550767,0.5
146,0051.txt,car,True,567,0.8677091569073265,0.622459
147,0052.txt,car,True,528,0.7682493501032203,0.017986
148,0053.txt,car,True,525,0.5672230500998474,0.001501
149,0054.txt,car,True,528,0.7821952322959743,0.5
150,0055.txt,car,True,483,0.7019375595561596,0.002473
151,0056.txt,car,True,437,0.7594469994646122,0.119203
152,0057.txt,car,True,418,0.7920413997146587,0.017986
153,0058.txt,car,True,357,0.6383010255181542,0.001501
154,0059.txt,car,True,340,0.6361332874827121,0.006693
155,0060.txt,car,True,304,0.6884329274139822,0.010987
156,0061.txt,car,True,288,0.6386633630911543,0.182426
157,0062.txt,car,True,272,0.8873297365643075,0.047426
158,0063.txt,car,True,238,0.7803784715382157,0.075858
159,0064.txt,car,True,224,0.8577002827320432,0.075858
160,0065.txt,car,True,223,0.6509305963895848,0.182426
161,0066.txt,car,True,304,0.6543012009638417,0.00407
162,0067.txt,car,True,320,0.821485125859204,0.268941
163,0068.txt,car,True,351,0.78798045824256,0.047426
164,0069.txt,car,True,408,0.8090827100519508,0.047426
165,0070.txt,car,True,475,0.7649252749005042,0.5
166,0071.txt,car,True,512,0.7510421029079463,0.5
