epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.144,3.30282,4.04628,3.29594,0.0243,0.04487,0.01043,0.00438,2.88897,4.78708,2.28147,0.0033311,0.0033311,0.0033311
2,511.307,2.17332,2.20695,1.93321,0.3649,0.24423,0.22216,0.10271,1.9447,1.60258,1.54976,0.00659846,0.00659846,0.00659846
3,746.206,1.85428,1.71528,1.62586,0.43641,0.31665,0.30326,0.15051,1.6936,1.41202,1.37662,0.00979981,0.00979981,0.00979981
4,979.212,1.67375,1.46246,1.48366,0.53517,0.39433,0.40703,0.21929,1.52292,1.13662,1.2555,0.009703,0.009703,0.009703
5,1216.26,1.55521,1.28561,1.38651,0.62454,0.40212,0.44665,0.24344,1.41542,1.0482,1.19326,0.009604,0.009604,0.009604
6,1449.69,1.48224,1.19527,1.33863,0.65532,0.4431,0.48783,0.27346,1.35422,0.98315,1.15778,0.009505,0.009505,0.009505
7,1683.16,1.42658,1.12236,1.29913,0.64666,0.46756,0.50174,0.28953,1.29574,0.93078,1.12513,0.009406,0.009406,0.009406
8,1915.43,1.38733,1.07779,1.27463,0.69215,0.47854,0.52852,0.30517,1.2665,0.893,1.10947,0.009307,0.009307,0.009307
9,2148.52,1.35886,1.03584,1.24956,0.71087,0.48014,0.53618,0.3152,1.21766,0.86069,1.08871,0.009208,0.009208,0.009208
10,2382.1,1.34304,1.01603,1.23822,0.6922,0.50738,0.55621,0.33188,1.18964,0.83693,1.07175,0.009109,0.009109,0.009109
11,2614.5,1.31456,0.9887,1.22241,0.72767,0.50652,0.56897,0.34114,1.19206,0.82424,1.07063,0.00901,0.00901,0.00901
12,2848.23,1.29716,0.96732,1.20849,0.75468,0.503,0.57743,0.34795,1.17003,0.79366,1.05851,0.008911,0.008911,0.008911
13,3077.89,1.28808,0.95599,1.20044,0.75734,0.51023,0.58105,0.35553,1.1306,0.78722,1.04852,0.008812,0.008812,0.008812
14,3310.79,1.2714,0.93443,1.18896,0.75413,0.52662,0.59397,0.36556,1.13081,0.76848,1.0402,0.008713,0.008713,0.008713
15,3543.27,1.26094,0.92083,1.18151,0.73213,0.53799,0.59481,0.36737,1.11195,0.75742,1.03439,0.008614,0.008614,0.008614
16,3776.16,1.24977,0.9092,1.17379,0.76165,0.52635,0.6027,0.37394,1.1121,0.75316,1.02514,0.008515,0.008515,0.008515
17,4007.02,1.23675,0.89731,1.1664,0.75527,0.54202,0.61175,0.38208,1.08309,0.73463,1.02012,0.008416,0.008416,0.008416
18,4240.68,1.22888,0.88609,1.15804,0.75252,0.54741,0.61597,0.38327,1.0916,0.74457,1.013,0.008317,0.008317,0.008317
19,4481.25,1.23345,0.88587,1.15255,0.7759,0.54425,0.62215,0.38908,1.08205,0.7326,1.00799,0.008218,0.008218,0.008218
20,4713.59,1.22748,0.88323,1.15074,0.78193,0.54319,0.62393,0.39123,1.08227,0.73394,1.00707,0.008119,0.008119,0.008119
21,4950.48,1.22137,0.87439,1.13932,0.7718,0.55744,0.63236,0.39904,1.07298,0.72477,0.99942,0.00802,0.00802,0.00802
22,5185.73,1.21791,0.87271,1.13588,0.76945,0.5642,0.63374,0.40206,1.0629,0.7172,0.99581,0.007921,0.007921,0.007921
23,5420.25,1.20616,0.85822,1.12739,0.78289,0.55286,0.63675,0.40503,1.06022,0.71498,0.99232,0.007822,0.007822,0.007822
24,5653.3,1.20381,0.85782,1.12324,0.77473,0.56054,0.63742,0.40725,1.04411,0.71037,0.98404,0.007723,0.007723,0.007723
25,5887.53,1.19564,0.85157,1.11622,0.76899,0.57689,0.64281,0.41024,1.04678,0.70816,0.9829,0.007624,0.007624,0.007624
26,6119.89,1.19134,0.84509,1.11311,0.7825,0.57288,0.64564,0.41442,1.03711,0.70005,0.97833,0.007525,0.007525,0.007525
27,6349.89,1.18691,0.83836,1.10929,0.78131,0.56906,0.6469,0.41661,1.03541,0.69685,0.97492,0.007426,0.007426,0.007426
28,6581.84,1.18338,0.83184,1.10393,0.79906,0.56489,0.64916,0.417,1.03549,0.69573,0.97214,0.007327,0.007327,0.007327
29,6812.61,1.17699,0.82912,1.10215,0.78639,0.57091,0.65091,0.41891,1.02905,0.69065,0.97032,0.007228,0.007228,0.007228
30,7027.55,1.17679,0.82415,1.09731,0.79491,0.56491,0.65113,0.4195,1.02793,0.68698,0.96821,0.007129,0.007129,0.007129
31,7241.75,1.16638,0.81864,1.09215,0.79021,0.56951,0.65303,0.42129,1.02407,0.68527,0.96565,0.00703,0.00703,0.00703
32,7456.66,1.16348,0.80986,1.08906,0.78633,0.57633,0.65468,0.42264,1.0217,0.68315,0.96282,0.006931,0.006931,0.006931
33,7672.24,1.16422,0.81089,1.08682,0.80301,0.57089,0.65635,0.42452,1.01963,0.68312,0.9615,0.006832,0.006832,0.006832
34,7887.55,1.15511,0.80164,1.08336,0.7885,0.58066,0.65813,0.42633,1.01696,0.68286,0.95985,0.006733,0.006733,0.006733
35,8103.16,1.15327,0.79882,1.08099,0.78699,0.58363,0.6594,0.42748,1.01263,0.68398,0.95615,0.006634,0.006634,0.006634
36,8327.81,1.1507,0.79338,1.07998,0.79236,0.58358,0.66049,0.42882,1.0102,0.68242,0.95412,0.006535,0.006535,0.006535
37,8557.99,1.15084,0.79493,1.07829,0.79939,0.58407,0.66185,0.42979,1.00921,0.67896,0.95292,0.006436,0.006436,0.006436
38,8792.14,1.14036,0.78399,1.07114,0.80691,0.58149,0.66322,0.43149,1.0059,0.67742,0.95131,0.006337,0.006337,0.006337
39,9024.48,1.13293,0.77846,1.06694,0.80922,0.58068,0.66435,0.43229,1.0044,0.6741,0.95047,0.006238,0.006238,0.006238
40,9258.75,1.13491,0.77928,1.06845,0.81467,0.57892,0.66401,0.43294,1.0023,0.67127,0.94832,0.006139,0.006139,0.006139
41,9491.12,1.13337,0.77761,1.06724,0.81835,0.57969,0.66535,0.4333,1.00014,0.66799,0.94714,0.00604,0.00604,0.00604
42,9726.79,1.13132,0.77204,1.06476,0.81778,0.57977,0.66592,0.43416,0.99841,0.66627,0.94606,0.005941,0.005941,0.005941
43,9958.77,1.12515,0.77006,1.06302,0.81596,0.58075,0.66616,0.43511,0.99673,0.66446,0.9449,0.005842,0.005842,0.005842
44,10192.1,1.12329,0.7651,1.063,0.81443,0.57946,0.66532,0.43549,0.99502,0.66208,0.94387,0.005743,0.005743,0.005743
45,10430.8,1.12299,0.76321,1.05874,0.81653,0.57829,0.66527,0.43621,0.99359,0.65991,0.94283,0.005644,0.005644,0.005644
46,10666.1,1.11972,0.7625,1.0574,0.81691,0.57857,0.66584,0.43691,0.9921,0.65856,0.94208,0.005545,0.005545,0.005545
47,10891.3,1.1145,0.75447,1.05673,0.81626,0.5792,0.66632,0.43689,0.99113,0.6578,0.94143,0.005446,0.005446,0.005446
48,11107.2,1.11253,0.75188,1.05362,0.8127,0.58112,0.66637,0.43742,0.98986,0.65673,0.94081,0.005347,0.005347,0.005347
49,11320.5,1.10862,0.74901,1.05227,0.81151,0.58277,0.66699,0.43798,0.9884,0.65513,0.94027,0.005248,0.005248,0.005248
50,11536.3,1.1084,0.74715,1.05296,0.81324,0.58175,0.66726,0.43847,0.98759,0.65439,0.93974,0.005149,0.005149,0.005149
51,11752.1,1.10366,0.74327,1.04937,0.81409,0.58169,0.6678,0.43877,0.9868,0.6532,0.9393,0.00505,0.00505,0.00505
52,11966.6,1.10141,0.74126,1.04799,0.812,0.58294,0.66832,0.43953,0.98555,0.65217,0.93889,0.004951,0.004951,0.004951
53,12180.3,1.10012,0.73777,1.04647,0.81478,0.58203,0.66842,0.43979,0.98506,0.65165,0.93851,0.004852,0.004852,0.004852
54,12392.9,1.09833,0.73526,1.0461,0.8113,0.58335,0.66917,0.44021,0.98479,0.65141,0.93804,0.004753,0.004753,0.004753
55,12607.8,1.09289,0.73197,1.04313,0.81018,0.58306,0.66904,0.44037,0.98432,0.6508,0.93733,0.004654,0.004654,0.004654
56,12820.4,1.09083,0.73016,1.04133,0.81008,0.58427,0.66943,0.44082,0.98268,0.64936,0.93665,0.004555,0.004555,0.004555
57,13033.7,1.08568,0.72693,1.03819,0.80965,0.5839,0.6695,0.44109,0.98198,0.64859,0.93622,0.004456,0.004456,0.004456
58,13246.1,1.08293,0.72135,1.03797,0.80727,0.58472,0.66965,0.44133,0.98109,0.64715,0.93576,0.004357,0.004357,0.004357
59,13460.7,1.07799,0.71773,1.03569,0.80954,0.58386,0.67037,0.4417,0.98006,0.6458,0.93527,0.004258,0.004258,0.004258
60,13675.3,1.0777,0.71609,1.03742,0.80703,0.58506,0.67013,0.44209,0.97888,0.64484,0.93482,0.004159,0.004159,0.004159
61,13889.1,1.08044,0.71766,1.03493,0.80656,0.58546,0.67072,0.4425,0.97811,0.64379,0.93448,0.00406,0.00406,0.00406
62,14103.4,1.07302,0.71147,1.03315,0.80872,0.58631,0.67144,0.44297,0.97727,0.64306,0.93409,0.003961,0.003961,0.003961
63,14317.2,1.07154,0.70924,1.03339,0.80686,0.58702,0.67151,0.44306,0.97671,0.64223,0.93372,0.003862,0.003862,0.003862
64,14531.6,1.07321,0.70916,1.03307,0.80696,0.5879,0.67189,0.44346,0.97633,0.6412,0.93337,0.003763,0.003763,0.003763
65,14744.1,1.07043,0.70375,1.02866,0.80751,0.5887,0.67209,0.44379,0.97527,0.64066,0.93298,0.003664,0.003664,0.003664
66,14957.6,1.06663,0.70255,1.03023,0.80694,0.59014,0.67248,0.44401,0.97497,0.6402,0.93262,0.003565,0.003565,0.003565
67,15171.5,1.06283,0.69985,1.02699,0.80813,0.58961,0.67296,0.44441,0.97466,0.63955,0.93223,0.003466,0.003466,0.003466
68,15385.8,1.05948,0.69784,1.02732,0.8065,0.59089,0.67349,0.445,0.9734,0.63905,0.93178,0.003367,0.003367,0.003367
69,15600.4,1.05867,0.69852,1.0262,0.80451,0.59224,0.67388,0.44565,0.97302,0.63863,0.93141,0.003268,0.003268,0.003268
70,15815,1.05722,0.69353,1.02543,0.80413,0.59202,0.67345,0.44581,0.97217,0.63815,0.93109,0.003169,0.003169,0.003169
71,16030.2,1.05404,0.69036,1.02279,0.80321,0.59227,0.67371,0.44631,0.97159,0.63745,0.9307,0.00307,0.00307,0.00307
72,16245.1,1.05189,0.68856,1.02174,0.80354,0.59258,0.67401,0.44639,0.97125,0.63674,0.93041,0.002971,0.002971,0.002971
73,16458.1,1.04717,0.68355,1.02052,0.80543,0.59161,0.67396,0.44675,0.9707,0.63628,0.93011,0.002872,0.002872,0.002872
74,16672.3,1.04687,0.68109,1.01883,0.8052,0.59206,0.67432,0.44712,0.97005,0.63591,0.92973,0.002773,0.002773,0.002773
75,16886.1,1.0444,0.68052,1.02108,0.80509,0.59278,0.67493,0.44737,0.96939,0.63528,0.9294,0.002674,0.002674,0.002674
76,17101,1.04149,0.67665,1.01663,0.80637,0.59186,0.675,0.44753,0.96904,0.6348,0.929,0.002575,0.002575,0.002575
77,17315,1.03794,0.67238,1.01523,0.8077,0.59151,0.67516,0.44792,0.96855,0.63414,0.92842,0.002476,0.002476,0.002476
78,17529.7,1.03794,0.6725,1.01496,0.80906,0.59114,0.67548,0.44843,0.96814,0.63326,0.92794,0.002377,0.002377,0.002377
79,17744.4,1.03539,0.66843,1.01335,0.80682,0.59165,0.67555,0.44892,0.96754,0.63218,0.92752,0.002278,0.002278,0.002278
80,17958.7,1.03444,0.66874,1.01318,0.81072,0.5901,0.67595,0.44954,0.96691,0.63115,0.92711,0.002179,0.002179,0.002179
81,18173.6,1.02945,0.66377,1.01314,0.81163,0.58927,0.67609,0.44975,0.96653,0.63056,0.92687,0.00208,0.00208,0.00208
82,18386.8,1.02643,0.662,1.01176,0.81335,0.58885,0.67683,0.45018,0.96607,0.62977,0.92656,0.001981,0.001981,0.001981
83,18600.9,1.02406,0.6578,1.00843,0.81455,0.58885,0.67693,0.45036,0.96561,0.62907,0.92628,0.001882,0.001882,0.001882
84,18815.8,1.02449,0.65648,1.0096,0.81551,0.58861,0.67743,0.4505,0.96523,0.62849,0.92604,0.001783,0.001783,0.001783
